[2026-05-15 17:18:06] greeting | OK | OK
[2026-05-15 17:18:06] ehlo | OK | OK
[2026-05-15 17:18:06] starttls | OK | OK
[2026-05-15 17:18:07] tls | OK | OK
[2026-05-15 17:18:07] ehlo2 | OK | OK
[2026-05-15 17:18:07] auth_login | OK | OK
[2026-05-15 17:18:07] auth_user | OK | OK
[2026-05-15 17:18:07] auth_pass | OK | OK
[2026-05-15 17:18:07] mail_from | OK | OK
[2026-05-15 17:18:08] rcpt_to | OK | OK
[2026-05-15 17:18:08] data_cmd | OK | OK
[2026-05-15 17:19:08] data_content | FAIL | FAIL
[2026-05-15 17:19:22] greeting | OK | OK
[2026-05-15 17:19:23] ehlo | OK | OK
[2026-05-15 17:19:23] starttls | OK | OK
[2026-05-15 17:19:23] tls | OK | OK
[2026-05-15 17:19:23] ehlo2 | OK | OK
[2026-05-15 17:19:23] auth_login | OK | OK
[2026-05-15 17:19:23] auth_user | OK | OK
[2026-05-15 17:19:23] auth_pass | OK | OK
[2026-05-15 17:19:24] mail_from | OK | OK
[2026-05-15 17:19:24] rcpt_to | OK | OK
[2026-05-15 17:19:24] data_cmd | OK | OK
[2026-05-15 17:20:24] data_content | FAIL | FAIL
[2026-05-15 17:22:32] greeting | OK | OK
[2026-05-15 17:22:32] ehlo | OK | OK
[2026-05-15 17:22:32] starttls | OK | OK
[2026-05-15 17:22:33] tls | OK | OK
[2026-05-15 17:22:33] ehlo2 | OK | OK
[2026-05-15 17:22:33] auth_login | OK | OK
[2026-05-15 17:22:33] auth_user | OK | OK
[2026-05-15 17:22:33] auth_pass | OK | OK
[2026-05-15 17:22:33] mail_from | OK | OK
[2026-05-15 17:22:33] rcpt_to | OK | OK
[2026-05-15 17:22:34] data_cmd | OK | OK
[2026-05-15 17:22:34] data_content | OK | OK
[2026-05-15 17:26:36] greeting | OK | OK
[2026-05-15 17:26:36] ehlo | OK | OK
[2026-05-15 17:26:36] starttls | OK | OK
[2026-05-15 17:26:37] tls | OK | OK
[2026-05-15 17:26:37] ehlo2 | OK | OK
[2026-05-15 17:26:37] auth_login | OK | OK
[2026-05-15 17:26:37] auth_user | OK | OK
[2026-05-15 17:26:37] auth_pass | OK | OK
[2026-05-15 17:26:37] mail_from | OK | OK
[2026-05-15 17:26:37] rcpt_to | OK | OK
[2026-05-15 17:26:38] data_cmd | OK | OK
[2026-05-15 17:26:38] data_content | OK | OK
[2026-05-15 18:00:17] greeting | OK | OK
[2026-05-15 18:00:17] ehlo | OK | OK
[2026-05-15 18:00:17] starttls | OK | OK
[2026-05-15 18:00:17] tls | OK | OK
[2026-05-15 18:00:17] ehlo2 | OK | OK
[2026-05-15 18:00:17] auth_login | OK | OK
[2026-05-15 18:00:17] auth_user | OK | OK
[2026-05-15 18:00:18] auth_pass | OK | OK
[2026-05-15 18:00:18] mail_from | OK | OK
[2026-05-15 18:00:18] rcpt_to | OK | OK
[2026-05-15 18:00:18] data_cmd | OK | OK
[2026-05-15 18:00:19] data_content | OK | OK
